Date,Year,Month,Day,Weekday,Week_Number,Year_Week,Open,High,Low,Close,Volume,Adj Close,Return
2020-03-31,2020,3,31,Tuesday,13,2020-13,6437.32,6612.57,6202.37,6606.78,40346426266.0,6606.78,0.026112924097839496
2020-04-01,2020,4,1,Wednesday,13,2020-13,6606.78,7088.25,6595.92,6793.62,47660646124.0,6793.62,0.028281287899985408
2020-04-02,2020,4,2,Thursday,13,2020-13,6797.4,7003.22,6673.34,6733.39,38976504903.0,6733.39,-0.008866740365705117
2020-04-03,2020,4,3,Friday,13,2020-13,6738.38,6878.95,6696.48,6867.53,33185988584.0,6867.53,0.01992164308903499
2020-04-04,2020,4,4,Saturday,13,2020-13,6862.54,6883.41,6715.93,6791.13,29510409856.0,6791.13,-0.011124520572645125
2020-04-05,2020,4,5,Sunday,14,2020-14,6788.05,7271.78,6782.89,7271.78,46896904615.0,7271.78,0.0707764242948763
2020-04-06,2020,4,6,Monday,14,2020-14,7273.64,7427.94,7136.71,7176.41,44243482668.0,7176.41,-0.013114627068677276
2020-04-07,2020,4,7,Tuesday,14,2020-14,7179.28,7356.22,7153.31,7334.1,37563249549.0,7334.1,0.02197254365887824
2020-04-08,2020,4,8,Wednesday,14,2020-14,7337.97,7341.45,7179.09,7302.09,34815139178.0,7302.09,-0.004364445986660415
2020-04-09,2020,4,9,Thursday,14,2020-14,7303.82,7303.82,6802.48,6865.49,43622840992.0,6865.49,-0.05979058460566089
2020-04-10,2020,4,10,Friday,14,2020-14,6867.44,6926.07,6789.92,6859.08,31222085946.0,6859.08,-0.0009336774645052337
2020-04-11,2020,4,11,Saturday,14,2020-14,6858.07,7119.95,6811.08,6971.09,35759567632.0,6971.09,0.016329994685138294
2020-04-12,2020,4,12,Sunday,15,2020-15,6965.62,6965.62,6668.26,6845.04,38619308647.0,6845.04,-0.018082418492216368
2020-04-13,2020,4,13,Monday,15,2020-15,6843.28,6958.56,6793.82,6842.43,34110434052.0,6842.43,-0.0003812781513637953
2020-04-14,2020,4,14,Tuesday,15,2020-15,6845.56,6928.66,6633.4,6642.11,32288311031.0,6642.11,-0.029275847531044064
2020-04-15,2020,4,15,Wednesday,15,2020-15,6640.45,7134.45,6555.5,7116.8,46783242377.0,7116.8,0.07146740203164859
2020-04-17,2020,4,17,Friday,15,2020-15,7092.29,7269.96,7089.25,7257.67,32447188386.0,7257.67,0.019792709747334714
2020-04-18,2020,4,18,Saturday,15,2020-15,7260.92,7280.52,7167.05,7189.42,31311210215.0,7189.42,-0.009402505352301915
2020-04-19,2020,4,19,Sunday,16,2020-16,7186.87,7240.29,6835.5,6881.96,37747113936.0,6881.96,-0.04276646838190479
2020-04-20,2020,4,20,Monday,16,2020-16,6879.78,6934.55,6834.44,6880.32,32589741511.0,6880.32,-0.00023761461322069355
2020-04-21,2020,4,21,Tuesday,16,2020-16,6879.44,7145.87,6867.78,7117.21,33249153866.0,7117.21,0.034429236680519004
2020-04-22,2020,4,22,Wednesday,16,2020-16,7121.31,7491.79,7081.59,7429.72,43500782316.0,7429.72,0.043910071328696176
2020-04-23,2020,4,23,Thursday,16,2020-16,7434.18,7574.2,7434.18,7550.9,34636526286.0,7550.9,0.016309658285092787
2020-04-24,2020,4,24,Friday,16,2020-16,7550.48,7641.36,7521.67,7569.94,32941541447.0,7569.94,0.002520911948821203
2020-04-25,2020,4,25,Saturday,16,2020-16,7570.14,7700.59,7561.41,7679.87,33070154491.0,7679.87,0.014522071498782596
2020-04-26,2020,4,26,Sunday,17,2020-17,7679.42,7795.6,7679.42,7795.6,36162144725.0,7795.6,0.015069777105927384
2020-04-27,2020,4,27,Monday,17,2020-17,7796.97,7814.53,7730.81,7807.06,33187959921.0,7807.06,0.001469741643032707
2020-04-28,2020,4,28,Tuesday,17,2020-17,7806.71,8871.75,7786.05,8801.04,60201052203.0,8801.04,0.1273180520232342
2020-04-29,2020,4,29,Wednesday,17,2020-17,8797.67,9440.65,8533.26,8658.55,66964629541.0,8658.55,-0.01618949646720247
2020-04-30,2020,4,30,Thursday,17,2020-17,8672.78,9048.02,8667.76,8864.77,44068389997.0,8864.77,0.023816089558295506
2020-05-01,2020,5,1,Friday,17,2020-17,8869.06,9007.19,8811.37,8988.6,40134388683.0,8988.6,0.013968791699848548
2020-05-02,2020,5,2,Saturday,17,2020-17,8983.61,9167.78,8830.97,8897.47,47101785174.0,8897.47,-0.010138170944239966
2020-05-03,2020,5,3,Sunday,18,2020-18,8895.75,8956.91,8645.02,8912.65,45718796276.0,8912.65,0.0017067266322232655
2020-05-04,2020,5,4,Monday,18,2020-18,8912.83,9062.42,8856.83,9003.07,43148462663.0,9003.07,0.010144678859214995
2020-05-05,2020,5,5,Tuesday,18,2020-18,9007.44,9411.47,8966.71,9268.76,49371886931.0,9268.76,0.029511199738283755
2020-05-06,2020,5,6,Wednesday,18,2020-18,9261.9,9992.66,9138.32,9951.52,61112700562.0,9951.52,0.07366214135771076
2020-05-07,2020,5,7,Thursday,18,2020-18,9936.16,9996.74,9767.17,9842.67,51780748042.0,9842.67,-0.010938284289408906
2020-05-08,2020,5,8,Friday,18,2020-18,9840.91,9913.86,9580.64,9593.9,46566121841.0,9593.9,-0.025274608612654736
2020-05-09,2020,5,9,Saturday,18,2020-18,9591.17,9595.58,8395.11,8756.43,63325279337.0,8756.43,-0.0872915214038874
2020-05-10,2020,5,10,Sunday,19,2020-19,8755.54,9033.47,8374.32,8601.8,57119858802.0,8601.8,-0.017659566044374797
2020-05-11,2020,5,11,Monday,19,2020-19,8610.39,8949.9,8569.64,8804.48,42142717533.0,8804.48,0.023562712138033515
2020-05-12,2020,5,12,Tuesday,19,2020-19,8805.39,9317.88,8805.39,9269.99,45558144023.0,9269.99,0.05287193516704303
2020-05-13,2020,5,13,Wednesday,19,2020-19,9271.33,9793.27,9255.04,9733.72,56426907637.0,9733.72,0.05002535168149658
2020-05-14,2020,5,14,Thursday,19,2020-19,9734.29,9755.83,9261.4,9328.2,48158802327.0,9328.2,-0.04166180495059313
2020-05-15,2020,5,15,Friday,19,2020-19,9333.24,9564.21,9260.69,9377.01,36164766408.0,9377.01,0.005233209039209763
2020-05-16,2020,5,16,Saturday,19,2020-19,9374.93,9823.0,9349.55,9670.74,40084250663.0,9670.74,0.03132400103227817
2020-05-17,2020,5,17,Sunday,20,2020-20,9675.7,9906.03,9570.36,9726.58,41827139896.0,9726.58,0.005773698991511145
2020-05-18,2020,5,18,Monday,20,2020-20,9727.06,9836.05,9539.62,9729.04,39254288955.0,9729.04,0.00025321252090737545
2020-05-19,2020,5,19,Tuesday,20,2020-20,9725.33,9804.79,9447.2,9522.98,36546239703.0,9522.98,-0.02117954918100662
2020-05-20,2020,5,20,Wednesday,20,2020-20,9522.74,9555.24,8869.93,9081.76,39326160532.0,9081.76,-0.04633209978369557
2020-05-21,2020,5,21,Thursday,20,2020-20,9080.33,9232.94,9008.64,9182.58,29810773699.0,9182.58,0.01110086707949609
2020-05-22,2020,5,22,Friday,20,2020-20,9185.06,9302.5,9118.11,9209.29,27727866812.0,9209.29,0.0029087652089092586
2020-05-23,2020,5,23,Saturday,20,2020-20,9212.28,9288.4,8787.25,8790.37,32518803300.0,8790.37,-0.045488748514099786
2020-05-24,2020,5,24,Sunday,21,2020-21,8786.11,8951.01,8719.67,8906.93,31288157264.0,8906.93,0.013260696716498988
2020-05-25,2020,5,25,Monday,21,2020-21,8909.59,8991.97,8757.29,8835.05,29584186947.0,8835.05,-0.008070322664891605
2020-05-26,2020,5,26,Tuesday,21,2020-21,8837.38,9203.32,8834.16,9181.02,32740536902.0,9181.02,0.039158209254817056
2020-05-27,2020,5,27,Wednesday,21,2020-21,9184.95,9546.32,9148.46,9525.75,34367073114.0,9525.75,0.037548495632866885
2020-05-28,2020,5,28,Thursday,21,2020-21,9528.36,9573.67,9379.34,9439.12,32896642044.0,9439.12,-0.009093976247976698
2020-05-29,2020,5,29,Friday,21,2020-21,9438.91,9704.03,9366.73,9700.41,32722975141.0,9700.41,0.02768159825145977
2020-05-30,2020,5,30,Saturday,21,2020-21,9700.11,9700.34,9432.3,9461.06,27773290299.0,9461.06,-0.024674768232348376
2020-05-31,2020,5,31,Sunday,22,2020-22,9463.61,10199.57,9450.9,10167.27,35198901068.0,10167.27,0.07464386293982206
2020-06-01,2020,6,1,Monday,22,2020-22,10162.97,10182.34,9460.57,9529.8,39137252109.0,9529.8,-0.06269774820259899
2020-06-02,2020,6,2,Tuesday,22,2020-22,9533.76,9682.86,9471.85,9656.72,25007459262.0,9656.72,0.013317594606312655
2020-06-03,2020,6,3,Wednesday,22,2020-22,9655.85,9887.61,9525.25,9800.64,25921805072.0,9800.64,0.014903505382374727
2020-06-04,2020,6,4,Thursday,22,2020-22,9800.22,9869.24,9663.22,9665.53,23509628646.0,9665.53,-0.013785177382049874
2020-06-05,2020,6,5,Friday,22,2020-22,9664.9,9773.43,9591.02,9653.68,20438419222.0,9653.68,-0.0012263695520872142
2020-06-06,2020,6,6,Saturday,22,2020-22,9653.0,9768.5,9458.15,9758.85,25015250846.0,9758.85,0.010894586827723485
2020-06-07,2020,6,7,Sunday,23,2020-23,9760.06,9782.31,9675.89,9771.49,21486346312.0,9771.49,0.0012948980117710729
2020-06-08,2020,6,8,Monday,23,2020-23,9774.36,9836.37,9664.72,9795.7,23717842783.0,9795.7,0.0024777121338637187
2020-06-09,2020,6,9,Tuesday,23,2020-23,9794.12,9908.9,9728.29,9870.09,25706567601.0,9870.09,0.007594610876882513
2020-06-10,2020,6,10,Wednesday,23,2020-23,9870.08,9938.3,9263.07,9321.78,30247143440.0,9321.78,-0.05555301055894357
2020-06-11,2020,6,11,Thursday,23,2020-23,9320.69,9540.47,9285.85,9480.84,22610564515.0,9480.84,0.01706353064227928
2020-06-12,2020,6,12,Friday,23,2020-23,9480.74,9493.21,9396.01,9475.28,17564322315.0,9475.28,-0.0005871213994007585
2020-06-13,2020,6,13,Saturday,23,2020-23,9477.55,9482.27,9347.59,9386.79,18991732746.0,9386.79,-0.009338962291258746
2020-06-14,2020,6,14,Sunday,24,2020-24,9386.04,9504.86,8990.18,9450.7,26699704768.0,9450.7,0.006808938469139436
2020-06-15,2020,6,15,Monday,24,2020-24,9454.27,9579.43,9400.45,9538.02,21565537209.0,9538.02,0.009239764861221245
2020-06-16,2020,6,16,Tuesday,24,2020-24,9533.78,9540.42,9327.34,9480.25,20177709879.0,9480.25,-0.006056760681470541
2020-06-17,2020,6,17,Wednesday,24,2020-24,9481.57,9482.78,9328.4,9411.84,17770083003.0,9411.84,-0.007216479234543938
2020-06-18,2020,6,18,Thursday,24,2020-24,9410.29,9440.88,9274.3,9288.02,19632223107.0,9288.02,-0.013156009327927487
2020-06-19,2020,6,19,Friday,24,2020-24,9290.96,9394.97,9247.38,9332.34,17130541557.0,9332.34,0.004771982890003024
2020-06-20,2020,6,20,Saturday,24,2020-24,9330.93,9401.11,9300.43,9303.63,15324301169.0,9303.63,-0.0030764990320015784
2020-06-21,2020,6,21,Sunday,25,2020-25,9300.92,9655.07,9296.87,9648.72,21104009514.0,9648.72,0.03709174751916078
2020-06-22,2020,6,22,Monday,25,2020-25,9644.08,9670.54,9547.25,9629.66,17006433272.0,9629.66,-0.0019753474772544743
2020-06-23,2020,6,23,Tuesday,25,2020-25,9632.15,9680.37,9278.23,9313.61,18961716076.0,9313.61,-0.03282025643027875
2020-06-24,2020,6,24,Wednesday,25,2020-25,9314.13,9340.16,9095.32,9264.81,18616048626.0,9264.81,-0.005239308190707503
2020-06-25,2020,6,25,Thursday,25,2020-25,9261.0,9310.52,9101.74,9162.92,18341465837.0,9162.92,-0.010998117562784016
2020-06-26,2020,6,26,Friday,25,2020-25,9167.82,9207.81,8998.22,9045.39,17273093144.0,9045.39,-0.012826410118569775
2020-06-27,2020,6,27,Saturday,25,2020-25,9048.46,9197.55,8975.53,9143.58,14560870760.0,9143.58,0.010855408054862181
2020-06-28,2020,6,28,Sunday,26,2020-26,9140.03,9237.57,9041.88,9190.85,16460547078.0,9190.85,0.005170015512075743
2020-06-29,2020,6,29,Monday,26,2020-26,9185.58,9217.84,9084.84,9137.99,15735797744.0,9137.99,-0.005751513982724221
2020-06-30,2020,6,30,Tuesday,26,2020-26,9145.99,9309.75,9104.74,9228.33,15971550355.0,9228.33,0.00988532488788163
2020-07-01,2020,7,1,Wednesday,26,2020-26,9231.14,9274.96,9036.62,9123.41,16338916796.0,9123.41,-0.011368806022981404
2020-07-02,2020,7,2,Thursday,26,2020-26,9124.84,9202.34,9058.79,9087.3,13078970999.0,9087.3,-0.00395756024273064
2020-07-03,2020,7,3,Friday,26,2020-26,9084.23,9183.3,9053.63,9132.49,12290528515.0,9132.49,0.004972274697731871
2020-07-04,2020,7,4,Saturday,26,2020-26,9126.09,9162.18,8977.02,9073.94,12903406143.0,9073.94,-0.00641072801130238
2020-07-05,2020,7,5,Sunday,27,2020-27,9072.85,9375.47,9058.66,9375.47,17889263252.0,9375.47,0.0332305643833104
2020-07-06,2020,7,6,Monday,27,2020-27,9349.16,9360.62,9201.82,9252.28,13839652595.0,9252.28,-0.01314037643510968
2020-07-07,2020,7,7,Tuesday,27,2020-27,9253.02,9450.34,9249.5,9428.33,19702359883.0,9428.33,0.019028359994139876
2020-07-08,2020,7,8,Wednesday,27,2020-27,9427.99,9431.38,9235.0,9277.97,18000702524.0,9277.97,-0.015948231171979632
2020-07-09,2020,7,9,Thursday,27,2020-27,9273.36,9287.47,9118.0,9278.81,16860035605.0,9278.81,9.052022711308894e-05
2020-07-10,2020,7,10,Friday,27,2020-27,9277.51,9293.53,9199.49,9240.35,13249910444.0,9240.35,-0.004145030168397623
2020-07-11,2020,7,11,Saturday,27,2020-27,9241.05,9319.42,9197.45,9276.5,14452361907.0,9276.5,0.003912550206798482
2020-07-12,2020,7,12,Sunday,28,2020-28,9277.21,9306.41,9224.29,9243.61,17519821266.0,9243.61,-0.003545059255915528
2020-07-13,2020,7,13,Monday,28,2020-28,9238.7,9283.84,9171.66,9243.21,18085038362.0,9243.21,-4.331537576462985e-05
2020-07-14,2020,7,14,Tuesday,28,2020-28,9241.9,9275.33,9171.93,9192.84,15844731575.0,9192.84,-0.005450155524782674
2020-07-15,2020,7,15,Wednesday,28,2020-28,9191.98,9214.31,9088.95,9132.23,15713967523.0,9132.23,-0.006593108913667822
2020-07-16,2020,7,16,Thursday,28,2020-28,9131.81,9182.25,9089.2,9151.39,13944570749.0,9151.39,0.002098616025556055
2020-07-17,2020,7,17,Friday,28,2020-28,9151.18,9230.98,9100.82,9159.04,12252601475.0,9159.04,0.0008356608977502233
2020-07-18,2020,7,18,Saturday,28,2020-28,9158.01,9201.4,9097.63,9185.82,12939002784.0,9185.82,0.002923597193133398
2020-07-19,2020,7,19,Sunday,29,2020-29,9187.22,9214.27,9137.51,9164.23,13755604146.0,9164.23,-0.0023499201650132306
2020-07-20,2020,7,20,Monday,29,2020-29,9162.51,9407.26,9149.39,9374.89,18069581956.0,9374.89,0.02298678850016933
2020-07-21,2020,7,21,Tuesday,29,2020-29,9375.08,9530.52,9319.65,9525.36,16532254884.0,9525.36,0.016050921443329758
2020-07-22,2020,7,22,Wednesday,29,2020-29,9527.14,9610.25,9483.0,9581.07,18146399002.0,9581.07,0.00584848921034431
2020-07-23,2020,7,23,Thursday,29,2020-29,9585.51,9623.34,9481.45,9536.89,16552768325.0,9536.89,-0.004611142289210002
2020-07-24,2020,7,24,Friday,29,2020-29,9539.49,9704.56,9530.21,9677.11,16610070933.0,9677.11,0.014702976045533722
2020-07-25,2020,7,25,Saturday,29,2020-29,9680.23,10023.81,9652.85,9905.17,20507998997.0,9905.17,0.023566295475673238
2020-07-26,2020,7,26,Sunday,30,2020-30,9905.22,11298.22,9903.97,10990.87,35359749590.0,10990.87,0.1096100707382146
2020-07-27,2020,7,27,Monday,30,2020-30,11017.46,11204.33,10632.63,10912.82,28766551142.0,10912.82,-0.007101328925793737
2020-07-28,2020,7,28,Tuesday,30,2020-30,10912.95,11304.4,10856.14,11100.47,24617249715.0,11100.47,0.017194865809297744
2020-07-29,2020,7,29,Wednesday,30,2020-30,11099.83,11169.36,10895.46,11111.21,22857247901.0,11111.21,0.0009680757576464583
2020-07-30,2020,7,30,Thursday,30,2020-30,11110.21,11415.86,10987.05,11323.47,23160469766.0,11323.47,0.0191025870102548
2020-07-31,2020,7,31,Friday,30,2020-30,11322.57,11794.78,11239.68,11759.59,26075670303.0,11759.59,0.03851523428168302
2020-08-01,2020,8,1,Saturday,30,2020-30,11758.76,12034.14,11018.13,11053.61,27410067336.0,11053.61,-0.060034265575901635
2020-08-02,2020,8,2,Sunday,31,2020-31,11043.77,11453.08,11012.42,11246.35,20271713443.0,11246.35,0.017436321777176023
2020-08-03,2020,8,3,Monday,31,2020-31,11246.2,11385.38,11094.15,11205.89,21250197042.0,11205.89,-0.00359726129861071
2020-08-04,2020,8,4,Tuesday,31,2020-31,11203.82,11786.62,11158.29,11747.02,24411254471.0,11747.02,0.04828976175167332
2020-08-05,2020,8,5,Wednesday,31,2020-31,11749.87,11902.34,11598.71,11779.77,23400740340.0,11779.77,0.002788023660583505
2020-08-06,2020,8,6,Thursday,31,2020-31,11778.89,11898.04,11408.59,11601.47,23132312867.0,11601.47,-0.01513618086086388
2020-08-07,2020,8,7,Friday,31,2020-31,11604.55,11800.06,11558.43,11754.05,17572057837.0,11754.05,0.013151196120374076
2020-08-08,2020,8,8,Saturday,31,2020-31,11737.33,11806.06,11548.78,11675.74,17489608833.0,11675.74,-0.006662100973708895
